date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,345.1395572544629,135.01534594840356,38.838279912049366,75.3176091244241,44.615432149247354,46.27463997193861,24.87454793224593,0.0,20.073162547415453,730.1485748401873
2024-03-04,345.2778223867526,135.14475619114052,38.78273188972835,75.33332931564561,44.057428047911344,46.24371268975625,25.24406210497949,22.638572784330215,20.196013986426955,752.9184293966713
2024-03-05,345.30856173398206,135.54110974550372,39.23337215800381,75.19408061505878,43.165770789995776,46.22156411409873,25.22402319376644,22.638572784330215,20.195408558390756,752.7224636931303
2024-03-06,345.59726841767775,135.46704571574236,39.27070688690259,75.20700322422971,43.00195205386832,46.20108046554076,25.166986827523115,22.638572784330215,20.205650382669745,752.7562667584846
2024-03-07,345.8519770377392,135.75951790956154,39.28503535042589,75.24146216995655,42.694041445126146,46.193764876770054,25.395384554178168,22.638572784330215,20.199596102307783,753.2593522303955
2024-03-08,345.7270946399279,135.72389856009866,39.283521780335406,75.22844546717833,42.68201259909365,46.17444163194812,25.42900700016833,22.638572784330215,20.19344091727312,753.0804353803537
2024-03-11,345.9949476071785,136.03599671275782,39.16172984038725,75.22092806906223,42.34698385956352,46.16379618897834,25.523529452319483,22.638572784330215,20.192885941573273,753.2793704561507
2024-03-12,345.9065576365107,135.97293129232074,39.19482657303265,75.18917841379736,42.40173372592348,46.16379618897834,25.501286026269625,22.639834092738955,20.3451006403403,753.315244589912
2024-03-13,345.8072818174903,136.0928060434876,39.09543547042375,75.15699814784176,42.489232708331386,46.16359437963294,25.53229958194715,22.639834092738955,20.340812191750572,753.3182944336445
2024-03-14,345.67802747247265,136.6044936387462,39.14139754883832,75.194563948441,42.399957299160604,46.1532011983449,25.71435179243138,22.65042908337239,20.321690756274037,753.8581127380814
2024-03-15,345.5598754163305,136.90382735030892,38.979647358501204,75.19089581132671,42.726045884689576,46.153251650681256,25.531845006396637,22.645383849737424,20.31987447216545,754.0106468001376
2024-03-18,344.97901514531964,136.29370724683207,38.0196907547756,75.24222652285225,44.177280600050224,46.16102131047911,25.509253459225974,22.645383849737424,20.361144483299498,753.3887233725718
