date,ZHONGTAI INTERNATIONAL SECURITIES LTD,QUAM SECURITIES LTD,CANFIELD SECURITIES CO LTD,CHINA PA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CINDA INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,65.82653259769936,0.0,0.0,34.17346740230066
2024-03-18,0.0,0.0,0.0,0.0,0.0,65.86954471645996,0.0,0.0,34.13045528354005
2024-03-19,0.0,0.0,0.0,0.0,39.91820096576099,39.57560748131167,0.0,0.0,20.506191552927344
2024-03-28,0.0,0.0,0.0,33.52168110759353,26.536948934130265,26.30919854503344,0.0,0.0,13.632171413242759
2024-04-02,0.0,0.0,0.0,33.52277471838031,26.537814675126647,26.306794457508754,0.0,0.0,13.632616148984287
2024-04-10,0.0,0.0,0.0,33.52277471838031,26.423630731265686,26.306794457508754,0.0,0.0,13.746800092845248
2024-04-19,0.0,0.0,0.0,33.52222790406758,26.424830888834165,26.306365348288168,0.0,0.0,13.746575858810084
2024-04-22,0.0,0.0,37.939499409493024,20.80406244635496,16.3993823298054,16.325862022315302,0.0,0.0,8.531193792031324
2024-04-23,0.0,0.0,37.94065164493569,20.80469427277532,16.396843350741154,16.32635784427255,0.0,0.0,8.531452887275288
2024-04-25,0.0,0.0,37.958328023137646,20.814387085850413,16.35789301774108,16.33396422063679,0.0,0.0,8.535427652634064
2024-05-02,0.0,0.0,37.95878936648942,20.814640062722773,16.347963544880244,16.343075634173093,0.0,0.0,8.535531391734471
2024-05-17,0.0,0.0,37.958404912917516,20.81442924823544,16.346785151393124,16.3449357451449,0.0,0.0,8.535444942309017
2024-05-20,0.0,0.0,37.95955829699683,20.815061704508828,16.34728185618841,16.346445242837824,0.0,0.0,8.531652899468108
2024-05-21,0.0,0.0,37.960711751170514,20.815694199218353,16.34777859116983,16.343903312788914,0.0,0.0,8.531912145652385
2024-05-22,0.0,0.0,37.97763713619587,20.82497520641339,16.35506750737294,16.351190501137733,0.0,0.0,8.491129648880074
2024-05-27,0.0,0.0,37.941880773218884,20.805368263259012,16.339669031469622,16.339845185139897,0.0,0.0,8.573236746912587
2024-05-28,0.0,0.0,37.90504153356075,20.7851675264477,16.323804214778466,16.32398019741433,0.0,0.0,8.662006527798754
2024-05-30,0.0,0.0,37.90465816794835,20.784957308541184,16.32363911839692,16.324826483482813,0.0,0.0,8.66191892163074
2024-05-31,0.0,0.0,37.90427481009046,20.78474709488684,16.323474025354855,16.325672752433064,0.0,0.0,8.661831317234778
2024-06-03,0.0,0.0,37.7526919085636,20.701626858767554,15.979164607853225,16.256355472980687,0.0,0.0,9.310161151834933
2024-06-04,0.0,0.0,37.67716480876966,20.660211697129657,16.14926523717907,16.221822782750024,0.0,0.0,9.291535474171592
2024-06-05,0.0,0.0,37.7188760617917,20.68308399450027,16.16714360174941,16.239781473591123,0.0,0.0,9.191114868367503
2024-06-06,0.0,0.0,37.71587029781302,20.68143578873887,16.176843164507922,16.238487348334182,0.0,0.0,9.18736340060601
2024-06-07,0.0,0.0,37.761471667181304,20.706441225045175,16.176492342720554,16.257879508195835,0.0,0.0,9.09771525685713
2024-06-11,0.0,0.0,37.77250854743854,20.71249328028202,16.15199250264788,16.26263134284227,0.0,0.0,9.100374326789291
2024-06-12,0.0,0.0,37.765657310701194,20.708736415823157,16.165185634792017,16.07830003569851,0.0,0.0,9.282120602985119
2024-06-13,0.0,0.0,37.81137922511266,20.733807952806718,16.083866878044766,16.097765621907325,0.0,0.0,9.273180322128535
2024-06-14,0.0,0.0,37.79879466604888,20.72690723042773,16.06136825839491,16.092407888695384,0.0,0.0,9.320521956433096
2024-06-18,0.0,0.0,37.800109932377985,20.727628454568013,16.06192713803793,16.092513980821195,0.0,0.0,9.317820494194873
2024-06-19,0.0,0.0,37.800163307436954,20.727657722694296,16.061949818033032,16.09239550055694,0.0,0.0,9.317833651278788
2024-06-20,0.0,0.0,37.808171273715445,20.73204887790507,16.065352542816612,16.095804675259718,0.0,0.0,9.298622630303157
2024-06-26,0.0,0.0,32.68537206840107,17.922970312655703,13.888585657065345,13.914911693095315,13.549449848360648,0.0,8.038710420421918
2024-07-09,0.0,0.0,32.68793777539585,17.924377213889752,13.88967587079439,13.916003973341903,13.550513440911427,0.0,8.031491725666672
2024-07-10,0.0,0.0,32.69135934470068,17.92625342582165,13.889385192730444,13.917460613781204,13.551931824082999,0.0,8.023609598883022
2024-07-11,0.0,0.0,32.6893633422282,17.92515892113057,13.889409390985438,13.916610869801369,13.551104397815935,0.0,8.028353078038494
