date,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,20.99776601827747,0.0,29.310645586677943,17.80533263861451,0.0,8.181499458647872,7.0650563035871095,5.592163898438502,11.047536095756595,0.0
2024-03-04,19.83294989892267,0.0,27.762899442601334,16.8793230716918,0.0,7.836808583299655,6.668335013450208,4.711540995834502,10.46459952330716,5.843543470892674
2024-03-05,19.69832188410947,0.0,27.61540144472014,16.800173377413746,0.0,7.863799042149646,6.630780405838438,5.151091289331034,10.431611552503648,5.808821003933876
2024-03-06,18.974428718774096,0.0,27.788482446244554,17.14843601266279,0.0,8.154887407176881,6.649151475798722,5.145009695714063,10.304575488986398,5.835028754642498
2024-03-07,18.972390755660324,0.0,27.789894132955045,17.22296883227404,0.0,8.117662655046535,6.64948926030324,5.145271068094755,10.266998114884988,5.835325180781068
2024-03-08,18.960241641218584,0.0,27.79238983502345,17.208122032556535,0.0,8.130401643426323,6.648932854820474,5.144131310603857,10.277159263100051,5.838621419250725
2024-03-11,19.47210986901783,0.0,28.51498958412661,17.692945334696613,0.0,8.371886889145948,6.8004542739664275,2.6139413880464457,10.544939498633424,5.988733162366701
2024-03-12,19.327128050464825,0.0,28.217787611344548,17.490984412817962,0.0,8.262629729518979,6.60115105303892,3.7484848558140706,10.42650377234318,5.925330514657514
2024-03-13,16.97716198803048,0.0,24.84610837059887,15.323658138207854,12.913006509550485,7.175168103538986,5.786482010554733,2.65550494820591,9.143060133717363,5.179849797595319
2024-03-14,17.00338317754878,0.0,24.990972289709763,15.262161991604314,12.880540003787697,7.178661071106397,5.776239981981411,2.6488283491783893,9.17482786360443,5.08438527147882
2024-03-15,16.682852614174635,0.0,24.496938943340684,14.94896235245578,12.618248994314243,7.015804639532493,5.649374896832163,4.603902247248916,8.996033637916033,4.987881674185049
2024-03-18,17.143692800781768,0.0,24.40774755501626,14.914442626849105,12.567323947120437,6.989490983318223,5.654987856948329,4.59092423630402,8.88369283231603,4.847697161345824
2024-03-19,18.461438204122288,0.0,24.214822861307958,14.79580159170992,12.446154079618326,6.901888234902481,5.676558319248921,4.389518204877202,8.532899483769638,4.5809190204432655
2024-03-20,18.725156275383924,0.0,24.61727358509993,15.103151731443567,12.653009349485798,7.022641364097678,5.770298440556263,2.757963597122306,8.693451692660712,4.657053964149817
2024-03-21,18.7954422606791,0.0,24.202732333627317,14.836058243430525,12.439533097229347,6.914259161897195,5.5960206804710895,4.32835972659528,8.308320164301445,4.579274331768704
2024-03-22,14.588453207452154,22.16799444102124,18.835492609170114,11.5682763167252,9.680998231139588,5.392390229018776,4.349061023722071,3.3685215401471638,6.485633876718766,3.563178524884927
2024-03-25,14.706140774134003,22.20372399563596,18.861992278671902,11.586921637191889,9.696601706498841,5.369741466963907,4.3582320601511455,3.172170489373786,6.47431899238219,3.5701565989963746
2024-03-26,15.01186161656269,22.558504550104157,19.150985981015204,11.781473472290436,9.851538136557377,5.458364802639134,4.4408883920625515,1.57701775926965,6.5409083993666695,3.6284568901321315
2024-03-27,15.237736980603106,22.142329020457932,18.70237515251101,11.560887263120238,9.669789869835823,5.309168366813523,4.317391178156278,3.156163198603968,6.342642464253593,3.5615165056445326
2024-03-28,15.366407907968316,22.14471556103016,18.699001837470668,11.558129991788073,9.670832097409441,5.2918796109564,4.285521967749203,3.1583510640076766,6.265723173746496,3.559436787873567
2024-04-02,15.923145937463548,22.07784905942301,18.646838006282465,11.521694849065275,9.641630787137395,5.2600892154383665,4.240344819271307,3.076358050061296,6.105421787415668,3.50662748844167
2024-04-03,16.645580603298633,22.02243151915585,18.625601245119284,11.48603683229625,9.617429359681795,5.197886271978974,4.153047378225037,2.7801325152799468,6.002050413175123,3.469803861789104
2024-04-05,16.648877095757374,22.017071093056536,18.62290467126705,11.492426234775577,9.615088404764846,5.194477856085405,4.135196979105945,2.785579270411251,6.006559842655481,3.481818552120531
2024-04-08,16.674586901405757,22.06283699853779,18.661615274115604,11.513707149247656,9.635074860968148,5.194690460025636,3.9592445989380005,2.7922899583676455,6.016897745059482,3.4890560533342816
2024-04-09,16.837849414004026,22.28439178494368,18.866369819736864,11.646991434393154,9.73183018545194,5.209203802623252,3.9931153751675406,1.8289906384210057,6.07468530286527,3.5265722423932653
2024-04-10,16.940811750242997,22.411172694285085,18.99894969978905,11.722447561352341,9.787196752885087,5.217336044124221,4.016144758744086,1.2781082944103355,6.106129017158957,3.521703427007835
2024-04-11,16.88368579270308,22.37552866213947,19.003271180052504,11.698824974531034,9.77163062609493,5.218061665393715,4.150755911329776,1.2836988824889368,6.098440000157694,3.5161023051088627
2024-04-12,16.604844512556586,22.03990363900898,18.750103842823343,11.51767665906612,9.625059619687606,5.16615077005455,4.089262265734996,2.7893874943949393,5.963443899619043,3.454167297053839
