date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,CELESTIAL SECURITIES LTD,WOCOM SECURITIES LTD,BOCI SECURITIES LTD
2024-09-25,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
